Age,Income,Transaction_amount,Is_high_risk,Number_of_accounts,Suspicion_score
56,70585.6669482087,291.23617421835223,0,3,635.5364638647682
69,39833.20860509924,315.2717899219829,1,1,-8.370814623141683
46,67302.97808011803,358.8199934971857,0,4,97.58711335763263
32,44374.840574452784,350.86682495871355,0,2,470.7012472756268
60,39587.81069738759,56.828642873785185,0,4,99.89760878313938
25,51647.90109564873,290.2691811227973,0,2,112.1984634885982
78,55136.85377011271,149.05780865932374,0,1,392.1522597608446
38,78672.94409764142,272.4272747532674,0,2,-29.450507785740655
56,54793.06368303072,287.621041218908,0,4,392.63911733863335
75,52899.170927740786,397.6148358084709,0,4,244.68311130063742
36,73942.1441585245,296.98845328999005,0,1,330.54355981244345
40,59015.80916317305,325.921801834326,1,4,359.8299895602039
28,40335.87229748078,379.3056380657429,0,2,63.00579110500831
28,70339.55577962288,422.77522598193,1,1,483.19339018742005
41,38905.71845855971,287.69860766430895,1,2,96.55375538793648
70,40261.29082499436,309.4179441680409,1,4,313.2341798665411
53,37272.1895091813,301.0023302242254,0,1,412.1895091466124
57,35956.32457583066,245.7401035568924,0,2,442.26699947664446
41,54997.59942259737,223.08847765576104,1,4,198.87877942263236
20,46131.46753184685,72.81140835740646,0,4,282.1711307476364
39,-2172.538204548342,192.33390654756704,0,3,22.990556204936098
70,45976.05407075731,122.13691667901963,0,4,694.9250452631713
19,42231.316162915486,425.51984844532524,0,2,353.0398183451272
41,63392.38046448283,318.84160082974284,0,1,235.48060817932708
61,41551.12082809456,287.40610270531664,0,3,254.3552866182693
47,88088.86686816339,228.25148139189184,1,4,400.42396496472946
55,70951.90368155364,302.9779263234624,0,4,349.55030815214997
19,44151.34413485333,215.2020122344666,1,4,181.8232459638419
77,67244.34618249623,317.40185566206037,0,2,157.36341808416353
38,57878.175690364216,324.5733982921353,0,3,197.84301886464334
50,53501.986947203644,213.86162976432564,0,2,-29.548204138601648
29,62039.78383411144,211.9538035177594,0,3,368.92982941489083
75,50811.063113907294,396.21993545951176,1,1,70.90311124397121
39,53605.267341162165,294.71400457087,0,2,-5.3080806575320025
78,62350.287744184476,221.89795707351095,0,2,214.01947788289027
61,80786.79112618235,262.9493698310481,0,1,221.84399329749215
42,53767.92458329511,198.94059132933927,0,3,257.35680345732186
66,43193.05002541766,293.2816419338083,0,4,92.07319036493423
44,19561.53717359017,383.16283076644686,0,1,58.93084577763031
76,79419.55207945456,297.23293324057386,0,4,416.98629850066465
59,46051.3743114206,536.3633443675385,1,4,391.9825231586338
45,58022.139351219004,342.13595680490016,0,1,328.16288361826366
77,78588.60855390491,322.99544478422126,0,3,276.2702840565284
33,53414.034813957376,209.16978690341944,0,4,251.52957298471168
32,47079.9460718378,276.1466553157333,0,1,227.86233521734965
79,71295.09466315617,222.09861569663076,0,2,103.59170293418009
79,56911.05601345879,83.43547715958763,0,2,486.97497977209656
64,58791.58407085101,397.42622221288076,0,2,493.64339686052995
79,27152.58694292359,248.8549444449769,1,1,328.0397865305383
68,68088.72810863878,223.95999256666937,0,2,143.40113819362494
61,55633.82101987468,321.0570033958465,0,4,341.20216596936405
72,29426.15930415314,351.2499552221517,0,2,359.6513016844758
69,57276.411674199124,267.92251670937213,0,2,-33.29430532489317
74,19062.11489132376,299.7398332390982,0,4,497.0005654462568
20,85129.62803769493,374.6187407314403,0,2,-70.15639208262508
54,33472.17800027359,263.9806405390052,1,4,354.26358399626275
68,74176.89148577653,330.2333741763334,1,2,572.0335816396803
24,37805.6667782202,134.07553816108498,1,4,186.40619456714273
38,58403.385664560796,175.86810015722514,0,2,174.30070138022944
26,36318.07615085752,360.5539778080404,0,4,332.22370861190376
56,64956.7283284673,170.64413608327015,0,1,577.354248652036
35,46470.21887139122,323.4137547113296,1,4,189.06828562564215
21,57016.69319311564,285.3001217802927,0,2,56.37236019107161
42,50225.96572368492,263.55327374797713,1,2,142.0521677005691
77,29515.028202745165,217.15372310322718,0,3,-149.75736974143103
31,57561.60289535801,390.93400181053755,0,4,423.7681857148009
67,42451.43771501378,472.98911545198354,0,1,89.38517643245402
75,65679.69189511416,330.01921626001945,0,4,212.69347460311917
26,46462.102877739846,332.2490715672817,0,4,398.0733391960091
43,48848.54136457502,231.7669370142506,0,1,105.49171154860532
70,75243.89696559405,180.390276817562,0,4,410.3449006906237
19,85724.55191761925,296.02610951938254,0,1,53.43401402391939
37,61790.50933568124,202.6250352041924,0,1,395.5874078565813
45,45692.89853864922,122.73898716841782,0,4,262.0407000472343
64,44380.08007465784,380.3445812365582,0,4,199.07881210903784
77,37719.8452202213,385.2166788251833,0,2,210.14005591172008
24,40621.42724669665,214.11612270469055,0,2,-84.69779216668496
61,45895.85384744047,324.3964321279244,0,3,225.83149969706736
78,79463.7945049235,400.19522677917666,0,3,250.6131546164439
25,47041.674937197145,320.5026687061879,0,4,-35.752905342499616
64,31609.204937028462,180.68453539012665,0,1,7.071778031760829
52,50624.97900688074,276.7106586762901,0,3,183.0719722908869
31,52671.926386415966,432.6809420041991,1,4,147.1535099836836
34,50534.53189775684,324.7026643605113,0,3,-268.8834507785186
53,61995.36833877811,353.91321031828056,0,1,434.65956563115753
67,51035.0826703855,334.1629219369114,0,4,197.06848251652903
57,61530.912382209935,214.44886420217466,1,1,-220.28333066267166
21,38294.84968913427,237.91547807173572,0,4,617.3738351213211
19,76710.94157217834,333.88651570517425,0,3,515.0890009775119
79,53787.19682515378,381.6871780020408,1,2,175.9467012368446
23,56003.284556105566,409.99049509178826,0,3,64.50612034804976
71,38232.321592800465,214.18944552318067,1,3,288.5218298900234
59,57077.40486899594,343.31205346771935,0,2,258.9513780615921
21,59765.97585005456,418.7044111718976,1,2,369.82037777737355
71,32453.47349262365,201.29182297119775,0,4,7.112074631357416
46,25113.62617418515,448.6747135799774,0,4,404.6491279006947
35,54404.990354141984,463.894082734419,0,1,120.50696434661599
43,42668.45264816701,562.5086339621661,0,1,337.740918423664
61,53898.82203703594,323.09334408299947,0,3,60.719126390967006
51,30634.458936528274,323.64246762624487,1,2,723.2619617863784
27,26592.41128425994,382.69943891173176,1,1,320.5594362527447
79,53100.34194501615,379.7802673049417,0,3,801.0251659352557
53,44753.243585647215,412.63668609956056,1,2,396.29055104645977
31,18339.507182747322,378.4033180465104,0,4,52.226474796408894
48,70146.48227161594,289.39380909619615,0,3,415.1085041706907
65,30385.14397724364,422.19971209735024,0,4,373.1058228028656
32,88599.87428165649,192.87458503072742,0,1,331.15203596593824
25,40639.74906667132,300.58523367253764,0,1,297.4165159070077
31,56023.40852188998,456.37356160497995,0,2,380.02959908581306
40,74704.23515580778,174.97535018796805,1,3,78.16980317726407
77,72191.50891743237,232.2524343002837,0,4,44.63658031890267
74,79792.04609340325,367.17472910772915,1,2,137.45816537469273
79,27153.856416794704,339.39119732361524,0,1,173.755311440053
57,32962.01753739129,212.49745923437553,0,1,102.53954670353609
38,53389.95911141045,258.38059972698596,0,3,17.503865010929758
33,62596.21156846571,181.9217937349661,1,4,418.44744461435744
62,49831.58834930543,398.0484999520572,0,3,276.07699072111257
35,25430.089464299166,274.4118642329468,0,4,202.08716362606384
64,57448.67238447199,479.2155910760632,0,4,201.2210428417632
70,47086.22917648948,308.11002440400216,0,3,129.33784032026458
